['urlkey', 'timestamp', 'original', 'mimetype', 'statuscode', 'digest', 'length']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.8.47', '20190512081321', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.8.47&r=stable', 'application/x-javascript', '200', 'ATSEQIJAC3KD7J3AXWJ7YJZYFVD36645', '56385']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.8.47', '20190517101631', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.8.47&r=stable', 'application/x-javascript', '200', 'ATSEQIJAC3KD7J3AXWJ7YJZYFVD36645', '56387']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.8.6', '20200504085824', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.8.6&r=stable', 'application/x-javascript', '200', 'SCT6SJD5KGZCZ4IJPGG4I7DHXIQNIUWB', '59643']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.8.8', '20180201152512', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.8.8&r=stable', 'application/x-javascript', '200', 'VQCWZ4ECKS4YY4HAL5NA7A2QECZ7TZVS', '15838']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.100', '20230328194436', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.100&r=stable', 'application/x-javascript', '200', '33TNNINEGTA5VA747OQ6HG33UUYA7SBJ', '111508']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.100', '20230329224618', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.100&r=stable', 'warc/revisit', '-', '33TNNINEGTA5VA747OQ6HG33UUYA7SBJ', '1344']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.100', '20230330162534', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.100&r=stable', 'warc/revisit', '-', '33TNNINEGTA5VA747OQ6HG33UUYA7SBJ', '1358']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.100', '20230402140939', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.100&r=stable', 'warc/revisit', '-', '33TNNINEGTA5VA747OQ6HG33UUYA7SBJ', '1345']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.100', '20230403180436', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.100&r=stable', 'warc/revisit', '-', '33TNNINEGTA5VA747OQ6HG33UUYA7SBJ', '1342']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.100', '20230405182127', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.100&r=stable', 'warc/revisit', '-', '33TNNINEGTA5VA747OQ6HG33UUYA7SBJ', '1357']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.102', '20230422023817', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.102&r=stable', 'application/x-javascript', '200', '7PC4ODOJZRLSULHWSIOUKAUM7CVYT3I5', '112863']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.11', '20200618161321', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.11&r=stable', 'application/x-javascript', '200', 'E4F6DIR7MPO5CTPB2HN4T6Y3RKPA5JQ3', '111284']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.13', '20200618161657', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.13&r=stable', 'application/x-javascript', '200', 'UX6MNSTMBSHEOP5YNI7RTMVIWH37WSZY', '112126']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.14', '20191210205418', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.14&r=stable', 'application/x-javascript', '200', 'W4PMPRR6KIBVBY6K6IBXEXEMB52IIQZM', '88065']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.15', '20200312004854', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.15&r=stable', 'application/x-javascript', '200', 'EM3HYY6XIR5XI6BKSDRHAGMTV6KECGBB', '116155']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.18', '20200604215532', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.18&r=stable', 'application/x-javascript', '200', 'KUDWVWINE2OMMRYFEZ5W3ITRX7FTLSN5', '133158']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.18', '20200618140859', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.18&r=stable', 'application/x-javascript', '200', 'PJPQ5JDOFHRYMPLS5DYKHLOJIXYGHVZ7', '129237']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.2', '20190811111042', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.2&r=stable', 'application/x-javascript', '200', '4SRZYDTK2TJ5TLEULP64EFUUG5TSPA6O', '68388']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.2', '20190811111044', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.2&r=stable', 'application/x-javascript', '200', '4SRZYDTK2TJ5TLEULP64EFUUG5TSPA6O', '68389']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.2', '20190811112123', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.2&r=stable', 'warc/revisit', '-', '4SRZYDTK2TJ5TLEULP64EFUUG5TSPA6O', '891']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.2', '20190811112125', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.2&r=stable', 'warc/revisit', '-', '4SRZYDTK2TJ5TLEULP64EFUUG5TSPA6O', '891']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.2', '20190811212647', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.2&r=stable', 'application/x-javascript', '200', '4SRZYDTK2TJ5TLEULP64EFUUG5TSPA6O', '68465']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.2', '20190811212650', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.2&r=stable', 'application/x-javascript', '200', '4SRZYDTK2TJ5TLEULP64EFUUG5TSPA6O', '68466']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.21', '20200702230233', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.21&r=stable', 'application/x-javascript', '200', 'HJ7WNGWTGTRXYQWA6PWDOBI5ICSLWIQT', '135919']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.22', '20200709191056', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.22&r=stable', 'application/x-javascript', '200', '7LEVSQ6Z3EI2USYDW54ELFON74VXXKBL', '135804']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.22', '20200805230836', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.22&r=stable', 'application/x-javascript', '200', 'J34WHWHDFK2JDGSL2WKRAYD6TCLGTQR5', '133443']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200806200613', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'application/x-javascript', '200', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '132904']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200807184848', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1207']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200808204544', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1206']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200809201539', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1203']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200810200716', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1208']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200811194543', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1208']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200812192556', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '934']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200813201546', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1144']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200814201919', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1206']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200815201949', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1209']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200816191423', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '934']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200817191055', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '936']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200819193839', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'H2LIUPZQCBMNWFEZSDOD3UAGCME527EO', '1209']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200821195544', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'application/x-javascript', '200', 'D4VL2JMFQUWOUYRMPWBPCXBKZCGSL3R2', '132829']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200822200137', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'D4VL2JMFQUWOUYRMPWBPCXBKZCGSL3R2', '1140']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200823190221', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'D4VL2JMFQUWOUYRMPWBPCXBKZCGSL3R2', '1142']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200824192822', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'D4VL2JMFQUWOUYRMPWBPCXBKZCGSL3R2', '1144']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200825191005', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'D4VL2JMFQUWOUYRMPWBPCXBKZCGSL3R2', '1210']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200826203117', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'application/x-javascript', '200', 'KWAV4K2T2ZW4CXUMYZTGQMJDGESNDDVR', '132833']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200827205747', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'application/x-javascript', '200', 'LG6FLQZ3QHHIEX5FTXXDQZENHTDBGOBA', '132494']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200828191914', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'LG6FLQZ3QHHIEX5FTXXDQZENHTDBGOBA', '1205']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200829205649', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'LG6FLQZ3QHHIEX5FTXXDQZENHTDBGOBA', '1206']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.23', '20200830195815', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.23&r=stable', 'warc/revisit', '-', 'LG6FLQZ3QHHIEX5FTXXDQZENHTDBGOBA', '1207']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200831195501', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'LG6FLQZ3QHHIEX5FTXXDQZENHTDBGOBA', '1149']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200901192206', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'LG6FLQZ3QHHIEX5FTXXDQZENHTDBGOBA', '1210']
